Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
412,Ha-Seong Kim,27,SDP,NL,152,626,538,84,140,23,0,17,60,38,9,75,124,.260,.351,.398,.749,110,214,7,3,5,5,1,456/HD,kimha01
413,Isiah Kiner-Falefa,28,NYY,AL,113,361,326,39,79,12,1,6,37,14,5,28,70,.242,.306,.340,.646,78,111,12,3,1,3,0,875H/9146,kineris01
414,John King*,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,kingjo01
415,John King*,28,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,kingjo01
416,Alex Kirilloff*,25,MIN,AL,88,319,281,35,76,14,1,11,41,1,0,28,80,.270,.348,.445,.793,117,125,2,7,0,3,1,3H97/D,kirilal01
417,Alejandro Kirk,24,TOR,AL,123,422,372,34,93,16,0,8,43,0,0,42,45,.250,.334,.358,.692,93,133,21,6,0,2,1,2HD,kirkal01
418,Heston Kjerstad*,24,BAL,AL,13,33,30,3,7,1,0,2,3,0,0,2,10,.233,.281,.467,.748,106,14,0,0,0,0,0,/DH79,kjershe01
419,Andrew Knizner,28,STL,NL,70,241,224,30,54,11,0,10,31,2,0,12,62,.241,.288,.424,.712,92,95,8,3,1,1,0,2/H3D,kniznan01
420,Taylor Kohlwey*,28,SDP,NL,5,13,13,0,2,0,0,0,0,0,0,0,5,.154,.154,.154,.308,-13,2,0,0,0,0,0,/7DH9,kohlwta01
421,Mark Kolozsvary,27,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/2,kolozma01
422,Ryan Kreidler,25,DET,AL,11,18,18,2,2,0,0,0,0,0,0,0,7,.111,.111,.111,.222,-38,2,0,0,0,0,0,/456DH,kreidry01
423,Steven Kwan*,25,CLE,AL,158,718,638,93,171,36,7,5,54,21,3,70,75,.268,.340,.370,.710,100,236,9,3,1,6,2,*7/DH,kwanst01
424,Tommy La Stella*,34,SEA,AL,12,24,21,2,4,1,0,0,2,0,0,3,5,.190,.292,.238,.530,53,5,0,0,0,0,0,/DH,lasteto01
425,Jake Lamb*,32,LAA,AL,18,54,51,7,11,1,0,2,5,0,0,3,15,.216,.259,.353,.612,65,18,1,0,0,0,0,3/H1,lambja01
426,Alex Lange,27,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,langeal01
427,Shea Langeliers,25,OAK,AL,135,490,448,52,92,19,4,22,63,3,2,34,143,.205,.268,.413,.681,92,185,10,5,1,2,2,*2/DH,langesh01
428,Trevor Larnach*,26,MIN,AL,58,212,183,26,39,7,3,8,40,1,1,27,72,.213,.311,.415,.727,98,76,2,0,0,2,1,79/HD,larnatr01
429,Ramón Laureano,28,TOT,AL,105,404,361,46,81,18,4,9,35,12,1,33,114,.224,.304,.371,.676,91,134,9,9,0,1,0,98/HD,laurera01
430,Ramón Laureano,28,OAK,AL,64,246,225,24,48,10,3,6,21,8,0,17,73,.213,.280,.364,.645,83,82,5,4,0,0,0,9/H8D,laurera01
431,Ramón Laureano,28,CLE,AL,41,158,136,22,33,8,1,3,14,4,1,16,41,.243,.342,.382,.724,103,52,4,5,0,1,0,98/HD,laurera01
432,Derek Law,32,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,lawde01
433,Jordan Lawlar,20,ARI,NL,14,34,31,2,4,0,0,0,0,1,1,2,11,.129,.206,.129,.335,-5,4,0,1,0,0,0,6/H,lawlajo01
434,Justin Lawrence,28,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,lawreju01
435,Korey Lee,24,CHW,AL,24,70,65,4,5,1,0,1,3,0,0,5,20,.077,.143,.138,.281,-22,9,0,0,0,0,0,2/DH,leeko01
436,Mark Leiter Jr.,32,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,leitema02
437,DJ LeMahieu,34,NYY,AL,136,562,497,55,121,22,3,15,44,2,2,60,125,.243,.327,.390,.718,96,194,14,3,0,2,2,53/4HD,lemahdj01
438,Sandy León#,34,TEX,AL,21,44,41,4,6,2,0,0,4,0,0,1,20,.146,.186,.195,.381,4,8,2,1,1,0,0,2/1H,leonsa01
439,Josh Lester*,28,BAL,AL,11,23,22,0,4,0,0,0,4,0,0,1,7,.182,.217,.182,.399,15,4,1,0,0,0,0,/3HD519,lestejo02
440,Kyle Lewis,27,ARI,NL,16,54,51,2,8,2,0,1,2,0,0,3,21,.157,.204,.255,.459,25,13,0,0,0,0,0,D/H7,lewisky01
441,Royce Lewis,24,MIN,AL,58,239,217,36,67,7,0,15,52,6,1,20,55,.309,.372,.548,.921,150,119,5,2,0,0,0,5/DH6,lewisro02
442,Francisco Lindor#,29,NYM,NL,160,687,602,108,153,33,2,31,98,31,4,66,137,.254,.336,.470,.806,120,283,8,12,0,7,1,*6/DH,lindofr01
443,Andre Lipcius,25,DET,AL,13,38,35,3,10,1,0,1,4,0,0,3,8,.286,.342,.400,.742,103,14,1,0,0,0,0,5/HD,lipcian01
444,Luke Little*,22,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,littllu01
445,Tim Locastro,30,NYM,NL,43,67,56,13,13,3,0,2,3,6,0,3,22,.232,.338,.393,.731,102,22,0,6,2,0,0,7H/8D9,locasti01
446,Nick Loftin,24,KCR,AL,19,68,62,10,20,5,1,0,10,2,0,4,12,.323,.368,.435,.803,121,27,0,1,0,1,0,/345DH,loftini01
447,Evan Longoria,37,ARI,NL,74,237,211,25,47,9,0,11,28,0,0,23,73,.223,.295,.422,.717,93,89,8,0,0,3,0,5DH,longoev01
448,Alejo Lopez#,27,CIN,NL,1,2,2,1,1,1,0,0,1,0,0,0,1,.500,.500,1.000,1.500,290,2,0,0,0,0,0,/4,lopezal03
449,Irving Lopez*,28,STL,NL,5,12,11,0,0,0,0,0,1,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,0,1,0,/54H,lopezir01
450,Nicky Lopez*,28,TOT,MLB,93,262,225,32,52,8,3,1,25,6,2,26,40,.231,.326,.307,.632,75,69,3,6,4,1,0,45H6/371D,lopezni01
451,Nicky Lopez*,28,KCR,AL,68,190,160,19,34,5,3,0,13,4,2,21,30,.213,.323,.281,.604,69,45,3,5,4,0,0,45/H637D,lopezni01
452,Nicky Lopez*,28,ATL,NL,25,72,65,13,18,3,0,1,12,2,0,5,10,.277,.333,.369,.703,89,24,0,1,0,1,0,4/6351H,lopezni01
453,Brandon Lowe*,28,TBR,AL,109,436,377,58,87,15,1,21,68,7,0,50,119,.231,.328,.443,.771,113,167,8,6,0,3,0,4/HD,lowebr01
454,Josh Lowe*,25,TBR,AL,135,501,466,71,136,33,2,20,83,32,3,31,124,.292,.335,.500,.835,129,233,6,1,0,3,2,9DH8/7,lowejo01
455,Nathaniel Lowe*,27,TEX,AL,161,724,623,89,163,38,3,17,82,1,0,93,165,.262,.360,.414,.775,111,258,22,5,0,3,2,*3,lowena01
456,Marco Luciano,21,SFG,NL,14,45,39,4,9,3,0,0,0,1,0,6,17,.231,.333,.308,.641,80,12,0,0,0,0,0,6/D,luciama01
457,Nathan Lukes*,28,TOR,AL,29,31,26,4,5,1,1,0,2,0,0,4,9,.192,.290,.308,.598,67,8,1,0,0,1,0,9H/D78,lukesna01
458,Jordan Luplow,29,TOT,AL,39,90,77,11,16,3,0,2,5,2,0,12,27,.208,.322,.325,.647,80,25,1,1,0,0,1,7H/9D381,luplojo01
459,Jordan Luplow,29,TOR,AL,7,17,14,1,3,0,0,0,1,0,0,3,8,.214,.353,.214,.567,64,3,0,0,0,0,1,/9HD,luplojo01
460,Jordan Luplow,29,MIN,AL,32,73,63,10,13,3,0,2,4,2,0,9,19,.206,.315,.349,.664,83,22,1,1,0,0,0,7H/3D981,luplojo01
461,Manny Machado,30,SDP,NL,138,601,543,75,140,21,0,30,91,3,2,50,109,.258,.319,.462,.782,115,251,20,2,0,6,1,5D,machama01
462,Nick Madrigal,26,CHC,NL,92,294,270,34,71,16,1,2,28,10,2,10,24,.263,.311,.352,.663,79,95,3,9,5,0,0,5H4/D,madrini01
463,Bligh Madris*,27,HOU,AL,12,30,26,4,4,1,0,0,0,0,0,4,7,.154,.267,.192,.459,31,5,0,0,0,0,0,/HD371,madribl01
464,Drew Maggi,34,PIT,NL,3,6,6,1,2,1,0,0,1,0,0,0,1,.333,.333,.500,.833,124,3,0,0,0,0,0,/5HD,maggidr01
465,Luke Maile,32,CIN,NL,74,199,179,17,42,10,0,6,25,2,1,14,49,.235,.308,.391,.699,87,70,8,5,1,0,0,2/1HD,mailelu01
466,Martín Maldonado,36,HOU,AL,116,407,362,33,69,12,0,15,36,0,0,30,139,.191,.258,.348,.606,66,126,10,3,12,0,0,*2/1,maldoma01
467,Trey Mancini,31,CHC,NL,79,263,235,31,55,12,0,4,28,0,0,21,78,.234,.299,.336,.635,71,79,5,2,0,3,1,3DH/9,mancitr01
468,Tucupita Marcano*,23,PIT,NL,75,220,202,16,47,12,2,3,18,5,2,10,35,.233,.276,.356,.633,72,72,2,3,3,2,0,64H/5D,marcatu01
469,Manuel Margot,28,TBR,AL,99,336,311,39,82,21,1,4,38,9,3,18,55,.264,.310,.376,.686,91,117,6,4,0,3,0,89H,margoma01
470,Jake Marisnick,32,TOT,MLB,46,83,76,10,18,3,2,2,10,2,3,3,21,.237,.280,.408,.688,86,31,4,2,1,1,0,8/H9D,marisja01
471,Jake Marisnick,32,TOT,AL,42,77,71,10,16,3,2,2,10,2,2,3,21,.225,.263,.408,.672,81,29,4,1,1,1,0,8/9HD,marisja01
472,Jake Marisnick,32,CHW,AL,9,2,2,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/98DH,marisja01
473,Jake Marisnick,32,DET,AL,33,75,69,9,16,3,2,2,10,2,2,3,20,.232,.270,.420,.691,86,29,4,1,1,1,0,8/HD,marisja01
474,Jake Marisnick,32,LAD,NL,4,6,5,0,2,0,0,0,0,0,1,0,0,.400,.500,.400,.900,149,2,0,1,0,0,0,/8H,marisja01
475,Cade Marlowe*,26,SEA,AL,34,100,88,14,21,3,2,3,11,4,2,12,33,.239,.330,.420,.750,111,37,1,0,0,0,0,7/H8D9,marloca01
476,Brandon Marsh*,25,PHI,NL,133,472,404,58,112,25,6,12,60,10,2,59,144,.277,.372,.458,.829,127,185,4,4,1,4,2,*87H/9D,marshbr02
477,Ketel Marte#,29,ARI,NL,150,650,569,94,157,26,9,25,82,8,2,71,109,.276,.358,.485,.844,128,276,16,5,0,5,2,*4/DH86,marteke01
478,Noelvi Marte,21,CIN,NL,35,123,114,15,36,7,0,3,15,6,2,8,25,.316,.366,.456,.822,120,52,1,1,0,0,0,5/6HD4,marteno01
479,Starling Marte,34,NYM,NL,86,341,315,38,78,7,1,5,28,24,4,16,69,.248,.301,.324,.625,73,102,8,8,2,0,1,9/H8,martest01
480,Chris Martin,37,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,martich02
481,J.D. Martinez,35,LAD,NL,113,479,432,61,117,27,2,33,103,1,0,34,149,.271,.321,.572,.893,134,247,11,2,0,9,1,*D/7H,martijd02
482,J.P. Martínez*,27,TEX,AL,17,44,40,7,9,1,0,1,4,0,0,2,16,.225,.250,.325,.575,55,13,0,0,0,2,0,/H79D8,martijp01
483,Seth Martinez,28,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,martise01
484,Nick Martini*,33,CIN,NL,29,79,72,10,19,3,1,6,16,0,0,5,15,.264,.329,.583,.912,139,42,1,2,0,0,0,7HD/39,martini02
485,Michael Massey*,25,KCR,AL,129,461,428,42,98,18,1,15,55,6,2,24,99,.229,.274,.381,.655,78,163,3,4,1,4,0,*4H/D,massemi02
486,Miles Mastrobuoni*,27,CHC,NL,60,149,133,24,32,5,0,1,5,13,1,13,32,.241,.308,.301,.609,65,40,1,0,3,0,0,5H/4D9671,mastrmi01
487,Jorge Mateo,28,BAL,AL,116,350,318,58,69,14,2,7,34,32,5,22,82,.217,.267,.340,.607,70,108,8,1,5,3,0,*6H/8D,mateojo01
488,Mark Mathias,28,TOT,NL,27,72,62,6,14,2,0,0,6,3,0,10,15,.226,.333,.258,.591,66,16,4,0,0,0,0,4/HD9,mathima01
489,Mark Mathias,28,PIT,NL,22,62,52,5,12,2,0,0,4,3,0,10,11,.231,.355,.269,.624,75,14,3,0,0,0,0,4/HD9,mathima01
490,Mark Mathias,28,SFG,NL,5,10,10,1,2,0,0,0,2,0,0,0,4,.200,.200,.200,.400,12,2,1,0,0,0,0,/4H,mathima01
491,Nick Maton*,26,DET,AL,93,293,249,29,43,9,0,8,32,1,2,38,73,.173,.288,.305,.593,63,76,4,3,1,2,1,54HD/6,matonni01
492,Phil Maton,30,HOU,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,matonph01
493,Luis Matos,21,SFG,NL,76,253,228,24,57,13,1,2,14,3,0,20,33,.250,.319,.342,.661,84,78,3,3,2,0,0,897/HD,matoslu02
494,Ronny Mauricio#,22,NYM,NL,26,108,101,11,25,4,0,2,9,7,0,7,31,.248,.296,.347,.643,77,35,2,0,0,0,0,4/56,mauriro01
495,Tim Mayza*,31,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,mayzati01
496,James McArthur,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,mcartja01
497,James McCann,33,BAL,AL,69,226,207,25,46,14,0,6,26,3,1,9,57,.222,.269,.377,.646,79,78,5,5,3,2,0,2/DH31,mccanja02
498,Jake McCarthy*,25,ARI,NL,99,312,276,37,67,7,5,2,16,26,4,26,62,.243,.318,.326,.644,77,90,4,5,4,1,0,9H8/D,mccarja02
499,Chas McCormick,28,HOU,AL,115,457,403,59,110,17,2,22,70,19,6,40,117,.273,.353,.489,.842,130,197,3,11,1,2,0,*789/DH,mccorch01
500,Mason McCoy,28,TOR,AL,6,1,1,2,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/6H,mccoyma01
501,Andrew McCutchen,36,PIT,NL,112,473,390,55,100,19,0,12,43,11,3,75,100,.256,.378,.397,.776,113,155,8,4,0,4,1,D/H9,mccutan01
502,Scott McGough,33,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,mcgousc01
503,Reese McGuire*,28,BOS,AL,72,206,187,15,50,12,1,1,16,2,1,11,53,.267,.310,.358,.668,80,67,2,1,2,1,0,2H/D,mcguire01
504,Ryan McKenna,26,BAL,AL,88,139,122,23,31,7,0,2,18,5,0,9,40,.254,.316,.361,.677,91,44,4,3,3,2,0,98H7/D1,mckenry01
505,Billy McKinney*,28,NYY,AL,48,147,128,19,29,3,1,6,14,1,0,17,39,.227,.320,.406,.726,98,52,1,1,0,1,1,79/8H3,mckinbi01
506,Zach McKinstry*,28,DET,AL,148,518,464,60,107,21,4,9,35,16,6,44,113,.231,.302,.351,.654,79,163,3,5,2,3,0,549H67/8D1,mckinza01
507,Matt McLain,23,CIN,NL,89,403,365,65,106,23,4,16,50,14,5,31,115,.290,.357,.507,.864,129,185,5,7,0,0,0,64/DH,mclaima01
508,Ryan McMahon*,28,COL,NL,152,627,555,80,133,31,3,23,70,5,5,68,198,.240,.322,.431,.753,93,239,19,1,0,3,2,*54/HD,mcmahry01
509,Jeff McNeil*,31,NYM,NL,156,648,585,75,158,25,4,10,55,10,0,39,65,.270,.333,.378,.711,96,221,5,18,3,3,0,497/H836,mcneije01
510,Curtis Mead,22,TBR,AL,24,92,83,12,21,3,1,1,5,0,0,7,21,.253,.326,.349,.675,89,29,3,2,0,0,0,5/4DH6,meadcu01
511,Austin Meadows*,28,DET,AL,6,21,21,0,5,1,0,0,2,0,0,0,3,.238,.238,.286,.524,43,6,0,0,0,0,0,/7H9,meadoau01
512,Parker Meadows*,23,DET,AL,37,145,125,19,30,4,2,3,13,8,1,17,37,.240,.338,.376,.714,96,47,0,2,0,1,1,8/DH,meadopa01
513,Wade Meckler*,23,SFG,NL,20,64,56,6,13,1,0,0,4,0,0,6,25,.232,.328,.250,.578,64,14,0,2,0,0,0,8/H7,mecklwa01
514,Francisco Mejía#,27,TBR,AL,50,160,150,22,34,11,0,5,19,0,1,6,38,.227,.258,.400,.658,80,60,2,1,1,2,0,2/H,mejiafr01
515,MJ Melendez*,24,KCR,AL,148,602,533,65,125,29,5,16,56,6,4,62,170,.235,.316,.398,.713,95,212,4,3,0,4,2,*97D2/H3,melenmj01
516,Danny Mendick,29,NYM,NL,33,69,65,4,12,3,0,1,4,1,0,4,15,.185,.232,.277,.509,40,18,1,0,0,0,0,4/5H7D1,mendida01
517,Joey Meneses,31,WSN,NL,154,657,611,71,168,36,1,13,89,0,0,38,130,.275,.321,.401,.722,99,245,15,5,0,3,0,*D3/H9,menesjo01
518,Óscar Mercado,28,STL,NL,20,32,31,3,9,3,0,0,5,2,1,1,4,.290,.313,.387,.700,90,12,0,0,0,0,0,/978DH,mercaos01
519,Whit Merrifield,34,TOR,AL,145,592,547,66,149,27,0,11,67,26,10,36,101,.272,.318,.382,.700,94,209,15,3,0,6,2,47/H9,merriwh01
520,Julian Merryweather,31,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,merryju01
521,Matt Mervis*,25,CHC,NL,27,99,90,8,15,2,0,3,11,0,0,8,32,.167,.242,.289,.531,43,26,1,1,0,0,0,3/H,mervima01
522,Jake Meyers,27,HOU,AL,112,341,309,42,70,16,1,10,33,5,2,26,88,.227,.296,.382,.678,86,118,2,5,0,1,0,8H/7D,meyerja02
523,Drew Millas#,25,WSN,NL,11,33,28,1,8,2,0,1,6,0,0,4,5,.286,.375,.464,.839,131,13,2,0,1,0,0,2/H,milladr01
524,Brad Miller*,33,TEX,AL,27,67,56,8,12,4,0,1,6,0,0,10,11,.214,.328,.339,.668,83,19,1,0,0,1,0,D/H351,millebr02
525,Owen Miller,26,MIL,NL,90,314,291,29,76,17,0,5,27,13,2,17,61,.261,.303,.371,.674,84,108,6,2,0,4,1,435H/7D9,milleow01
526,Shelby Miller,32,LAD,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,millesh01
527,Jose Miranda,25,MIN,AL,40,152,142,12,30,4,0,3,13,0,0,9,24,.211,.263,.303,.566,56,43,8,1,0,0,0,5/D3H,miranjo01
528,Calvin Mitchell*,24,PIT,NL,2,5,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-38,0,0,0,0,0,0,/H9,mitchca01
529,Garrett Mitchell*,24,MIL,NL,19,73,65,10,16,2,1,3,7,1,1,7,26,.246,.315,.446,.761,106,29,0,0,0,1,0,8/H,mitchga01
530,Andruw Monasterio,26,MIL,NL,92,315,282,38,73,14,1,3,27,7,2,28,66,.259,.330,.348,.678,87,98,9,3,0,2,0,54/HD6,monasan01
531,Yoán Moncada#,28,CHW,AL,92,357,334,39,87,20,1,11,40,1,0,20,107,.260,.305,.425,.730,97,142,6,2,0,1,0,5/H,moncayo01
532,Mickey Moniak*,25,LAA,AL,85,323,311,35,87,21,2,14,45,6,3,9,113,.280,.307,.495,.802,113,154,4,3,0,0,1,897/H,moniami01
533,Elehuris Montero,24,COL,NL,85,307,284,40,69,15,2,11,39,0,0,15,111,.243,.290,.426,.716,82,121,5,5,0,3,0,3D5/H,monteel01
534,Rafael Montero,32,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,montera01
535,Coco Montes,26,COL,NL,18,41,38,3,7,2,0,1,3,0,0,2,12,.184,.244,.316,.560,44,12,0,1,0,0,0,4/5H6,monteco01
536,Dylan Moore,30,SEA,AL,67,165,145,18,30,9,1,7,19,7,3,16,56,.207,.303,.428,.731,104,62,1,4,0,0,0,H47/6D9385,mooredy01
537,Jovani Moran*,26,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,moranjo01
538,Christopher Morel,24,CHC,NL,107,429,388,62,96,17,3,26,70,6,2,36,133,.247,.313,.508,.821,116,197,7,2,1,2,0,D48/795H6,morelch01
539,Gabriel Moreno,23,ARI,NL,111,380,341,33,97,19,1,7,50,6,2,29,75,.284,.339,.408,.747,104,139,17,3,0,7,0,2H/D,morenga01
540,Taylor Motter,33,STL,NL,29,82,76,3,13,3,0,0,2,0,0,5,31,.171,.232,.211,.442,23,16,0,1,0,0,0,45/H63D9,motteta01
541,Ryan Mountcastle,26,BAL,AL,115,470,423,64,114,21,1,18,68,3,1,37,107,.270,.328,.452,.779,117,191,13,3,0,7,1,3D/H,mountry01
542,Mike Moustakas*,34,TOT,MLB,112,386,352,43,87,15,0,12,48,0,0,23,95,.247,.293,.392,.685,81,138,7,3,0,8,1,53HD,moustmi01
543,Mike Moustakas*,34,COL,NL,47,136,115,21,31,7,0,4,17,0,0,17,34,.270,.360,.435,.795,105,50,1,1,0,3,1,3H5/D,moustmi01
544,Mike Moustakas*,34,LAA,AL,65,250,237,22,56,8,0,8,31,0,0,6,61,.236,.256,.371,.627,68,88,6,2,0,5,0,53/DH,moustmi01
545,Cedric Mullins*,28,BAL,AL,116,455,404,51,94,23,3,15,74,19,3,43,101,.233,.305,.416,.721,101,168,6,1,3,4,1,*8/HD,mullice01
546,Max Muncy*,32,LAD,NL,135,579,482,95,102,17,1,36,105,1,2,85,153,.212,.333,.475,.808,115,229,8,6,0,6,4,*5D/H,muncyma01
547,Andrés Muñoz,24,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,munozan01
548,Penn Murfee,29,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,murfepe01
549,Sean Murphy,28,ATL,NL,108,438,370,65,93,21,0,21,68,0,0,49,98,.251,.365,.478,.844,125,177,18,18,0,1,0,2/DH,murphse01
550,Tom Murphy,32,SEA,AL,47,159,145,19,42,12,0,8,17,0,0,10,44,.290,.335,.538,.873,142,78,4,1,0,2,0,2/DH,murphto04
551,Dane Myers,27,MIA,NL,22,70,67,9,18,3,0,1,9,1,1,2,19,.269,.286,.358,.644,74,24,1,0,0,1,0,8/D7H,myersda01
552,Wil Myers,32,CIN,NL,37,141,127,11,24,3,0,3,12,2,1,12,48,.189,.257,.283,.541,46,36,3,0,1,1,0,93/DH,myerswi01
553,James Naile,30,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,naileja01
554,Tyler Naquin*,32,CHW,AL,5,8,8,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,0,0,0,/7H9,naquity01
555,Andrew Nardi*,24,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,nardian01
556,Omar Narváez*,31,NYM,NL,49,146,128,12,27,5,0,2,7,0,0,14,27,.211,.283,.297,.580,61,38,1,0,1,3,0,2/H,narvaom01
557,Bo Naylor*,23,CLE,AL,67,230,198,33,47,13,0,11,32,5,0,30,53,.237,.339,.470,.809,124,93,2,1,0,1,1,2/H,naylobo01
558,Josh Naylor*,26,CLE,AL,121,495,452,52,139,31,0,17,97,10,3,33,68,.308,.354,.489,.842,133,221,11,3,0,7,9,3D/H9,naylojo01
559,Kyle Nelson*,26,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,nelsoky01
560,Hector Neris,34,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,nerishe01
561,Zach Neto,22,LAA,AL,84,329,289,38,65,17,0,9,34,5,1,20,77,.225,.308,.377,.685,86,109,5,16,1,3,0,6/H,netoza01
562,Tyler Nevin,26,DET,AL,41,111,95,11,19,3,1,2,10,0,1,12,25,.200,.306,.316,.622,72,30,1,3,0,1,0,5HD/379,nevinty01
563,Kevin Newman,29,CIN,NL,74,253,225,28,57,16,0,3,28,8,1,17,34,.253,.311,.364,.675,81,82,7,4,2,5,0,564H/3D,newmake01
564,Tomás Nido,29,NYM,NL,22,61,56,5,7,0,0,0,1,0,0,2,18,.125,.153,.125,.278,-22,7,2,0,2,1,0,2/H,nidoto01
565,Brandon Nimmo*,30,NYM,NL,152,682,592,89,162,30,6,24,68,3,3,74,146,.274,.363,.466,.829,127,276,6,11,1,4,0,*87/DH,nimmobr01
566,Ryan Noda*,27,OAK,AL,128,495,406,63,93,22,1,16,54,3,1,77,170,.229,.364,.406,.770,121,165,4,10,0,2,1,*3H/D97,nodary01
567,Austin Nola,33,SDP,NL,52,154,130,9,19,3,0,1,8,0,0,18,31,.146,.260,.192,.452,30,25,5,2,4,0,0,2/H,nolaau01
568,Lars Nootbaar*,25,STL,NL,117,503,426,74,111,23,1,14,46,11,1,72,99,.261,.367,.418,.784,115,178,7,1,1,3,2,*897/HD,nootbla01
569,Ryan O'Hearn*,29,BAL,AL,112,368,346,48,100,22,1,14,60,5,1,15,82,.289,.322,.480,.801,122,166,2,3,1,3,2,39HD/7,ohearry01
570,Logan O'Hoppe,23,LAA,AL,51,199,182,23,43,6,0,14,29,0,1,14,48,.236,.296,.500,.796,111,91,4,2,0,1,0,2/DH,ohopplo01
571,Brian O'Keefe,29,SEA,AL,8,21,19,0,2,2,0,0,2,0,0,2,7,.105,.190,.211,.401,14,4,2,0,0,0,0,/2H,okeefbr01
572,Tyler O'Neill,28,STL,NL,72,266,238,27,55,14,0,9,21,5,0,28,67,.231,.312,.403,.715,94,96,5,0,0,0,0,78/HD,oneilty01
573,Rougned Odor*,29,SDP,NL,59,157,138,21,28,9,0,4,18,2,1,17,37,.203,.299,.355,.654,83,49,2,2,0,0,0,4H/5D93,odorro01
574,Shohei Ohtani*,28,LAA,AL,135,599,497,102,151,26,8,44,95,20,6,91,143,.304,.412,.654,1.066,184,325,9,3,0,3,21,*D1,ohtansh01
575,Chris Okey,28,LAA,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,okeych01
576,Edward Olivares,27,KCR,AL,107,385,354,47,93,23,4,12,36,11,5,22,64,.263,.317,.452,.769,109,160,7,7,0,2,1,7DH/98,olivaed02
577,Matt Olson*,29,ATL,NL,162,720,608,127,172,27,3,54,139,1,0,104,167,.283,.389,.604,.993,162,367,13,4,0,4,8,*3,olsonma02
578,Jonathan Ornelas,23,TEX,AL,8,8,7,2,1,0,0,0,0,0,0,0,4,.143,.250,.143,.393,12,1,0,1,0,0,0,/65H,orneljo01
579,Rafael Ortega*,32,NYM,NL,47,136,114,16,25,3,0,1,8,6,1,20,33,.219,.341,.272,.613,73,31,0,1,1,0,0,87/H9D,ortegra01
580,Joey Ortiz,24,BAL,AL,15,34,33,4,7,1,0,0,4,0,0,0,9,.212,.206,.242,.448,26,8,2,0,0,1,0,/45H6,ortizjo06
581,James Outman*,26,LAD,NL,151,567,483,86,120,16,3,23,70,16,3,68,181,.248,.353,.437,.790,112,211,4,12,0,4,1,*87/H9D,outmaja01
